name,node_code,node_type,owner,province,latitude,longitude,planning_region,sources,notes
Alain-Grandbois,QC_AGB_DSS,DSS,"Hydro Québec",QC,46.659235,-72.114330,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Albanel,QC_ALB_SWS,SWS,"Hydro Québec",QC,51.669994,-75.603728,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Alcoa,QC_ALC_ISS,ISS,SCHM,QC,49.257037,-68.156315,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Alma,QC_ALM_DSS,DSS,"Hydro Québec",QC,48.521028,-71.613596,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Aluminerie Alouette",QC_ALO_ISS,ISS,"Hydro Québec",QC,50.160795,-66.436372,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Almaville,QC_ALV_DSS,DSS,"Hydro Québec",QC,46.522538,-72.739655,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Amos,QC_AMO_DSS,DSS,"Hydro Québec",QC,48.546444,-78.093853,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Amqui,QC_AMQ_DSS,DSS,"Hydro Québec",QC,48.467816,-67.448882,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Anne-Hébert,QC_ANH_DSS,DSS,"Hydro Québec",QC,46.751804,-71.463153,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Antoine-Lemieux,QC_ANL_DSS,DSS,"Hydro Québec",QC,46.115745,-71.290925,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Anse-à-Valleau,QC_ANV_GSS,GSS,"Hydro Québec",QC,49.079363,-64.627360,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Appalaches,QC_APP_TSS,TSS,"Hydro Québec",QC,46.134455,-71.397979,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Aqueduc,QC_AQD_TSS,TSS,"Hydro Québec",QC,45.428008,-73.617121,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Arthur-Buies,QC_ARB_DSS,DSS,"Hydro Québec",QC,45.805406,-74.008064,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Argonal Inc",QC_ARG_ISS,ISS,"Hydro Québec",QC,45.826575,-73.269309,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Arnaud,QC_ARN_TSS,TSS,"Hydro Québec",QC,50.194081,-66.591450,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Arthabaska,QC_ART_DSS,DSS,"Hydro Québec",QC,46.005375,-71.947296,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Asbestos,QC_ASB_DSS,DSS,"Hydro Québec",QC,45.784199,-71.942244,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Atwater,QC_ATW_DSS,DSS,"Hydro Québec",QC,45.473715,-73.571402,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Alcan Usine Shawinigan",QC_AUS_ISS,ISS,"Hydro Québec",QC,46.562230,-72.735125,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Basell Canada Inc",QC_BAS_ISS,ISS,"Hydro Québec",QC,45.706720,-73.417441,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Baie-Trinité,QC_BAT_DSS,DSS,"Hydro Québec",QC,49.409588,-67.359681,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Baie d'Urfé",QC_BAU_DSS,DSS,"Hydro Québec",QC,45.419299,-73.920506,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Beauceville-Est,QC_BCE_DSS,DSS,"Hydro Québec",QC,46.209066,-70.769844,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Boucherville,QC_BCH_TSS,TSS,"Hydro Québec",QC,45.600886,-73.365317,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Beauceville,QC_BCV_TSS,TSS,"Hydro Québec",QC,46.224455,-70.795311,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bout-de-l'Île,QC_BDI_DSS,DSS,"Hydro Québec",QC,45.664822,-73.525004,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Bécancour GS",QC_BEC_GSS,GSS,"Hydro Québec",QC,46.392484,-72.352370,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bécancour,QC_BEC_TSS,TSS,"Hydro Québec",QC,46.363478,-72.373532,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bedford,QC_BED_DSS,DSS,"Hydro Québec",QC,45.134608,-72.962896,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Beauharnois-Est,QC_BEE_GSS,GSS,"Hydro Québec",QC,45.312557,-73.902455,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Beaulieu,QC_BEL_DSS,DSS,"Hydro Québec",QC,45.334173,-71.845929,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bélanger,QC_BEL_TSS,TSS,"Hydro Québec",QC,45.571621,-73.584014,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Beaumont,QC_BEM_DSS,DSS,"Hydro Québec",QC,45.525015,-73.620434,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Beauharnois-Ouest,QC_BEO_TSS,TSS,"Hydro Québec",QC,45.313240,-73.917012,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bourget,QC_BGT_DSS,DSS,"Hydro Québec",QC,46.806517,-71.155950,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Bowater Gatineau",QC_BGT_ISS,ISS,"Hydro Québec",QC,45.482169,-75.653441,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bolduc,QC_BLD_DSS,DSS,"Hydro Québec",QC,45.947705,-70.658348,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Boulevard-Labelle,QC_BLL_DSS,DSS,"Hydro Québec",QC,45.656603,-73.852063,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Blainville,QC_BLV_DSS,DSS,"Hydro Québec",QC,45.687802,-73.920082,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Boralex,QC_BLX_ISS,ISS,"Hydro Québec",QC,48.383535,-77.223932,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Beaumont GS",QC_BMT_GSS,GSS,"Hydro Québec",QC,47.555923,-72.836714,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"B.O.C. Canada Inc",QC_BOC_ISS,ISS,"Hydro Québec",QC,45.275187,-72.109987,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bourassa,QC_BOU_DSS,DSS,"Hydro Québec",QC,45.639309,-73.563867,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Bowater Produits Forestiers",QC_BPF_ISS,ISS,"Hydro Québec",QC,48.879730,-72.215752,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Beaupré,QC_BPR_DSS,DSS,"Hydro Québec",QC,47.057459,-70.922937,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Beauport,QC_BPT_DSS,DSS,"Hydro Québec",QC,46.884178,-71.209926,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
