date,g628,g636,g637,g644,g640,g629,g632,g633,g641,g635,g643,g630,g639,g631,g646,g627,g634,g642,g638,g645
2018-05-04 07:00:00,44645.39343305287,230.40000000000006,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,3741.6745831118956,2803.767807014857,0.0,0.0,0.0,0.0,0.0,104.54518509690699,0.0,0.0,0.0
2018-05-04 08:00:00,44645.39343305288,230.40000000000006,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,3741.6745831118956,2803.767807014857,0.0,0.0,0.0,0.0,0.0,29.230701591354304,0.0,0.0,0.0
2018-05-04 09:00:00,41267.29242117911,199.16201407411359,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,3741.6745831118956,2803.767807014857,0.0,0.0,98.58458888183287,319.51704255940814,0.0,29.230701591354304,0.0,0.0,0.0
2018-05-04 10:00:00,37073.16517860061,167.9240281482271,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,4336.350576856579,2803.767807014857,0.0,0.0,197.1691777636657,699.3304828403266,0.0,29.230701591354304,0.0,0.0,0.0
2018-05-04 11:00:00,33564.42277597403,136.68604222234057,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,4985.775288428291,2803.767807014857,0.0,0.0,295.75376664549856,1381.5939463471163,0.0,29.230701591354304,0.0,0.0,0.0
2018-05-04 12:00:00,28847.167737012474,105.44805629645408,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,4985.775288428291,2803.767807014857,0.0,0.0,394.3383555273314,1885.162416691894,0.0,29.230701591354304,0.0,0.0,0.0
2018-05-04 13:00:00,28847.167737012474,74.21007037056759,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,5635.200000000003,2803.767807014857,0.0,0.0,394.3383555273314,2420.2019778049553,0.0,0.0,0.0,0.0,0.0
2018-05-04 14:00:00,23380.630260410453,74.21007037056759,0.0,0.0,0.0,20477.39796489906,779.3443627593041,0.0,0.0,5635.200000000003,2803.767807014857,0.0,0.0,461.10164447266885,3019.2937772372807,0.0,0.0,0.0,0.0,0.0
2018-05-04 15:00:00,23380.630260410453,62.475971851773,0.0,0.0,0.0,20477.39796489906,779.3443627593041,0.0,0.0,5635.200000000003,2803.767807014857,0.0,0.0,559.6862333545016,4156.475165721473,0.0,0.0,0.0,0.0,0.0
2018-05-04 16:00:00,23380.630260410453,62.475971851773,0.0,0.0,0.0,20477.39796489906,779.3443627593041,0.0,0.0,5635.200000000003,2803.767807014857,0.0,0.0,559.6862333545016,4998.461374964095,0.0,0.0,0.0,0.0,0.0
2018-05-04 17:00:00,16943.53630470408,62.475971851773,0.0,0.0,0.0,20477.39796489906,779.3443627593041,0.0,0.0,5635.200000000003,2803.767807014857,0.0,0.0,658.2708222363344,6240.827846433404,0.0,0.0,0.0,0.0,0.0
2018-05-04 18:00:00,8248.586409685959,31.237985925886488,0.0,0.0,0.0,20477.39796489906,779.3443627593041,0.0,0.0,5635.200000000003,2803.767807014857,0.0,0.0,756.8554111181672,7148.13208720357,0.0,0.0,0.0,0.0,0.0
